Day,Time Slot
1,10AM to 12PM
1,10AM to 12PM
1,2PM to 4PM
1,2PM to 4PM
1,4PM to 6PM
1,4PM to 6PM
1,4PM to 6PM
1,4PM to 6PM
2,10AM to 12PM
2,10AM to 12PM
2,2PM to 4PM
2,2PM to 4PM
2,4PM to 6PM
2,4PM to 6PM
2,4PM to 6PM
2,4PM to 6PM
3,10AM to 12PM
3,10AM to 12PM
3,2PM to 4PM
3,2PM to 4PM
3,4PM to 6PM
3,4PM to 6PM
3,4PM to 6PM
3,4PM to 6PM
4,10AM to 12PM
4,10AM to 12PM
4,2PM to 4PM
4,2PM to 4PM
4,4PM to 6PM
4,4PM to 6PM
4,4PM to 6PM
4,4PM to 6PM
5,10AM to 12PM
5,10AM to 12PM
5,2PM to 4PM
5,2PM to 4PM
5,4PM to 6PM
5,4PM to 6PM
5,4PM to 6PM
5,4PM to 6PM
6,10AM to 12PM
6,10AM to 12PM
6,2PM to 4PM
6,2PM to 4PM
6,4PM to 6PM
6,4PM to 6PM
6,4PM to 6PM
7,10AM to 12PM
7,10AM to 12PM
7,2PM to 4PM
7,2PM to 4PM
7,4PM to 6PM
7,4PM to 6PM
7,4PM to 6PM
8,10AM to 12PM
8,10AM to 12PM
8,2PM to 4PM
8,2PM to 4PM
8,4PM to 6PM
8,4PM to 6PM
8,4PM to 6PM
9,10AM to 12PM
9,10AM to 12PM
9,2PM to 4PM
9,4PM to 6PM
9,4PM to 6PM
9,4PM to 6PM
10,10AM to 12PM
10,10AM to 12PM
10,2PM to 4PM
10,4PM to 6PM
10,4PM to 6PM
10,4PM to 6PM
11,10AM to 12PM
11,10AM to 12PM
11,2PM to 4PM
11,4PM to 6PM
11,4PM to 6PM
11,4PM to 6PM
12,10AM to 12PM
12,10AM to 12PM
12,2PM to 4PM
12,4PM to 6PM
12,4PM to 6PM
12,4PM to 6PM
13,10AM to 12PM
13,10AM to 12PM
13,2PM to 4PM
13,4PM to 6PM
13,4PM to 6PM
13,4PM to 6PM
14,10AM to 12PM
14,10AM to 12PM
14,2PM to 4PM
14,4PM to 6PM
14,4PM to 6PM
14,4PM to 6PM
15,10AM to 12PM
15,10AM to 12PM
15,2PM to 4PM
15,4PM to 6PM
15,4PM to 6PM
15,4PM to 6PM
16,10AM to 12PM
16,2PM to 4PM
16,4PM to 6PM
16,4PM to 6PM
17,10AM to 12PM
17,2PM to 4PM
17,4PM to 6PM
17,4PM to 6PM
18,10AM to 12PM
18,2PM to 4PM
18,4PM to 6PM
18,4PM to 6PM
19,10AM to 12PM
19,2PM to 4PM
19,4PM to 6PM
19,4PM to 6PM
20,10AM to 12PM
20,2PM to 4PM
20,4PM to 6PM
20,4PM to 6PM
21,10AM to 12PM
21,2PM to 4PM
21,4PM to 6PM
21,4PM to 6PM
22,10AM to 12PM
22,2PM to 4PM
22,4PM to 6PM
22,4PM to 6PM
23,10AM to 12PM
23,2PM to 4PM
23,4PM to 6PM
23,4PM to 6PM
24,10AM to 12PM
24,2PM to 4PM
24,4PM to 6PM
24,4PM to 6PM
25,10AM to 12PM
25,2PM to 4PM
25,4PM to 6PM
25,4PM to 6PM
26,10AM to 12PM
26,2PM to 4PM
26,4PM to 6PM
26,4PM to 6PM
27,10AM to 12PM
27,2PM to 4PM
27,4PM to 6PM
27,4PM to 6PM
28,10AM to 12PM
28,2PM to 4PM
28,4PM to 6PM
28,4PM to 6PM
29,10AM to 12PM
29,2PM to 4PM
29,4PM to 6PM
29,4PM to 6PM
30,10AM to 12PM
30,2PM to 4PM
30,4PM to 6PM
13,10AM to 12PM
4,10AM to 12PM
23,10AM to 12PM
21,10AM to 12PM
22,10AM to 12PM
6,10AM to 12PM
12,10AM to 12PM
23,10AM to 12PM
1,10AM to 12PM
3,10AM to 12PM
5,10AM to 12PM
13,10AM to 12PM
5,10AM to 12PM
1,10AM to 12PM
25,10AM to 12PM
28,10AM to 12PM
11,10AM to 12PM
16,10AM to 12PM
3,10AM to 12PM
26,10AM to 12PM
27,10AM to 12PM
7,10AM to 12PM
7,10AM to 12PM
2,10AM to 12PM
15,10AM to 12PM
11,10AM to 12PM
14,10AM to 12PM
29,10AM to 12PM
7,10AM to 12PM
19,10AM to 12PM
11,10AM to 12PM
26,10AM to 12PM
1,10AM to 12PM
29,10AM to 12PM
4,10AM to 12PM
10,10AM to 12PM
26,10AM to 12PM
21,10AM to 12PM
15,10AM to 12PM
20,10AM to 12PM
6,10AM to 12PM
25,10AM to 12PM
16,10AM to 12PM
10,2PM to 4PM
20,2PM to 4PM
15,2PM to 4PM
30,2PM to 4PM
27,2PM to 4PM
21,2PM to 4PM
9,2PM to 4PM
18,2PM to 4PM
12,2PM to 4PM
27,2PM to 4PM
22,2PM to 4PM
20,2PM to 4PM
4,2PM to 4PM
13,2PM to 4PM
14,2PM to 4PM
12,2PM to 4PM
30,2PM to 4PM
3,2PM to 4PM
3,2PM to 4PM
20,2PM to 4PM
29,2PM to 4PM
27,2PM to 4PM
17,2PM to 4PM
21,2PM to 4PM
27,2PM to 4PM
6,2PM to 4PM
2,2PM to 4PM
26,2PM to 4PM
5,2PM to 4PM
10,2PM to 4PM
23,2PM to 4PM
29,2PM to 4PM
5,2PM to 4PM
9,2PM to 4PM
15,2PM to 4PM
28,2PM to 4PM
12,2PM to 4PM
24,4PM to 6PM
1,4PM to 6PM
19,4PM to 6PM
8,4PM to 6PM
17,4PM to 6PM
26,4PM to 6PM
22,4PM to 6PM
2,4PM to 6PM
29,4PM to 6PM
4,4PM to 6PM
13,4PM to 6PM
1,4PM to 6PM
8,4PM to 6PM
3,4PM to 6PM
6,4PM to 6PM
24,4PM to 6PM
27,4PM to 6PM
21,4PM to 6PM
1,4PM to 6PM
9,4PM to 6PM
10,4PM to 6PM
22,4PM to 6PM
20,4PM to 6PM
7,4PM to 6PM
5,4PM to 6PM
6,4PM to 6PM
15,4PM to 6PM
26,4PM to 6PM
7,4PM to 6PM
15,4PM to 6PM
17,4PM to 6PM
14,4PM to 6PM
20,4PM to 6PM
6,4PM to 6PM
24,4PM to 6PM
25,4PM to 6PM
4,4PM to 6PM
19,4PM to 6PM
8,4PM to 6PM
18,4PM to 6PM
1,4PM to 6PM
3,4PM to 6PM
10,4PM to 6PM
21,4PM to 6PM
2,4PM to 6PM
27,4PM to 6PM
9,4PM to 6PM
28,4PM to 6PM
20,4PM to 6PM
23,4PM to 6PM
17,4PM to 6PM
1,4PM to 6PM
7,4PM to 6PM
13,4PM to 6PM
13,4PM to 6PM
2,4PM to 6PM
20,4PM to 6PM
18,4PM to 6PM
